species	sample_a	sample_b	snp_distance	compared_sites
Candidozyma auris	SRR10461138	SRR10461238	143	64810
Candidozyma auris	SRR10461138	SRR30692992	166	64810
Candidozyma auris	SRR10461138	SRR30693012	156	64810
Candidozyma auris	SRR10461138	SRR30693032	174	64810
Candidozyma auris	SRR10461238	SRR30692992	113	64810
Candidozyma auris	SRR10461238	SRR30693012	127	64810
Candidozyma auris	SRR10461238	SRR30693032	126	64810
Candidozyma auris	SRR30692992	SRR30693012	101	64810
Candidozyma auris	SRR30692992	SRR30693032	119	64810
Candidozyma auris	SRR30693012	SRR30693032	149	64810
