species	sample_a	sample_b	snp_distance	compared_sites
Candida tropicalis	SRR10967519	SRR12823762	25648	29220
Candida tropicalis	SRR10967519	SRR35650155	1919	29220
Candida tropicalis	SRR10967519	SRR35650156	3244	29220
Candida tropicalis	SRR10967519	SRR35650157	2675	29220
Candida tropicalis	SRR12823762	SRR35650155	25560	29220
Candida tropicalis	SRR12823762	SRR35650156	25894	29220
Candida tropicalis	SRR12823762	SRR35650157	25541	29220
Candida tropicalis	SRR35650155	SRR35650156	3150	29220
Candida tropicalis	SRR35650155	SRR35650157	2390	29220
Candida tropicalis	SRR35650156	SRR35650157	2947	29220
Candidozyma auris	SRR38842632	SRR38842634	40002	198767
Candidozyma auris	SRR38842632	SRR38887223	168	198767
Candidozyma auris	SRR38842632	SRR38906258	154539	198767
Candidozyma auris	SRR38842632	SRR38906262	154590	198767
Candidozyma auris	SRR38842632	SRR38906266	39994	198767
Candidozyma auris	SRR38842632	SRR38908327	154440	198767
Candidozyma auris	SRR38842632	SRR38908328	39981	198767
Candidozyma auris	SRR38842632	SRR38908329	39964	198767
Candidozyma auris	SRR38842632	SRR38908333	330	198767
Candidozyma auris	SRR38842632	SRR38908336	305	198767
Candidozyma auris	SRR38842632	SRR38908337	318	198767
Candidozyma auris	SRR38842634	SRR38887223	39970	198767
Candidozyma auris	SRR38842634	SRR38906258	154785	198767
Candidozyma auris	SRR38842634	SRR38906262	154827	198767
Candidozyma auris	SRR38842634	SRR38906266	152	198767
Candidozyma auris	SRR38842634	SRR38908327	154691	198767
Candidozyma auris	SRR38842634	SRR38908328	150	198767
Candidozyma auris	SRR38842634	SRR38908329	156	198767
Candidozyma auris	SRR38842634	SRR38908333	39997	198767
Candidozyma auris	SRR38842634	SRR38908336	40005	198767
Candidozyma auris	SRR38842634	SRR38908337	40020	198767
Candidozyma auris	SRR38887223	SRR38906258	154514	198767
Candidozyma auris	SRR38887223	SRR38906262	154559	198767
Candidozyma auris	SRR38887223	SRR38906266	39960	198767
Candidozyma auris	SRR38887223	SRR38908327	154415	198767
Candidozyma auris	SRR38887223	SRR38908328	39941	198767
Candidozyma auris	SRR38887223	SRR38908329	39914	198767
Candidozyma auris	SRR38887223	SRR38908333	288	198767
Candidozyma auris	SRR38887223	SRR38908336	261	198767
Candidozyma auris	SRR38887223	SRR38908337	270	198767
Candidozyma auris	SRR38906258	SRR38906262	173	198767
Candidozyma auris	SRR38906258	SRR38906266	154781	198767
Candidozyma auris	SRR38906258	SRR38908327	295	198767
Candidozyma auris	SRR38906258	SRR38908328	154778	198767
Candidozyma auris	SRR38906258	SRR38908329	154759	198767
Candidozyma auris	SRR38906258	SRR38908333	154537	198767
Candidozyma auris	SRR38906258	SRR38908336	154530	198767
Candidozyma auris	SRR38906258	SRR38908337	154559	198767
Candidozyma auris	SRR38906262	SRR38906266	154829	198767
Candidozyma auris	SRR38906262	SRR38908327	314	198767
Candidozyma auris	SRR38906262	SRR38908328	154820	198767
Candidozyma auris	SRR38906262	SRR38908329	154801	198767
Candidozyma auris	SRR38906262	SRR38908333	154574	198767
Candidozyma auris	SRR38906262	SRR38908336	154575	198767
Candidozyma auris	SRR38906262	SRR38908337	154604	198767
Candidozyma auris	SRR38906266	SRR38908327	154695	198767
Candidozyma auris	SRR38906266	SRR38908328	96	198767
Candidozyma auris	SRR38906266	SRR38908329	116	198767
Candidozyma auris	SRR38906266	SRR38908333	39991	198767
Candidozyma auris	SRR38906266	SRR38908336	40003	198767
Candidozyma auris	SRR38906266	SRR38908337	40018	198767
Candidozyma auris	SRR38908327	SRR38908328	154688	198767
Candidozyma auris	SRR38908327	SRR38908329	154669	198767
Candidozyma auris	SRR38908327	SRR38908333	154440	198767
Candidozyma auris	SRR38908327	SRR38908336	154431	198767
Candidozyma auris	SRR38908327	SRR38908337	154460	198767
Candidozyma auris	SRR38908328	SRR38908329	112	198767
Candidozyma auris	SRR38908328	SRR38908333	39968	198767
Candidozyma auris	SRR38908328	SRR38908336	39976	198767
Candidozyma auris	SRR38908328	SRR38908337	39977	198767
Candidozyma auris	SRR38908329	SRR38908333	39947	198767
Candidozyma auris	SRR38908329	SRR38908336	39955	198767
Candidozyma auris	SRR38908329	SRR38908337	39978	198767
Candidozyma auris	SRR38908333	SRR38908336	273	198767
Candidozyma auris	SRR38908333	SRR38908337	268	198767
Candidozyma auris	SRR38908336	SRR38908337	127	198767
