species	sample_a	sample_b	snp_distance	compared_sites
Candidozyma auris	ERR2300788	ERR2300806	0	27811
Candidozyma auris	ERR2300788	ERR2300807	0	27811
Candidozyma auris	ERR2300788	ERR2300808	0	27811
Candidozyma auris	ERR2300788	ERR2300809	380	27811
Candidozyma auris	ERR2300788	ERR2300810	380	27811
Candidozyma auris	ERR2300788	ERR2300812	0	27811
Candidozyma auris	ERR2300788	ERR2300813	0	27811
Candidozyma auris	ERR2300788	ERR2300814	0	27811
Candidozyma auris	ERR2300788	SRR11092001	26797	27811
Candidozyma auris	ERR2300788	SRR38908326	382	27811
Candidozyma auris	ERR2300788	SRR38908330	0	27811
Candidozyma auris	ERR2300788	SRR38908334	1565	27811
Candidozyma auris	ERR2300806	ERR2300807	0	27811
Candidozyma auris	ERR2300806	ERR2300808	0	27811
Candidozyma auris	ERR2300806	ERR2300809	380	27811
Candidozyma auris	ERR2300806	ERR2300810	380	27811
Candidozyma auris	ERR2300806	ERR2300812	0	27811
Candidozyma auris	ERR2300806	ERR2300813	0	27811
Candidozyma auris	ERR2300806	ERR2300814	0	27811
Candidozyma auris	ERR2300806	SRR11092001	26797	27811
Candidozyma auris	ERR2300806	SRR38908326	382	27811
Candidozyma auris	ERR2300806	SRR38908330	0	27811
Candidozyma auris	ERR2300806	SRR38908334	1565	27811
Candidozyma auris	ERR2300807	ERR2300808	0	27811
Candidozyma auris	ERR2300807	ERR2300809	380	27811
Candidozyma auris	ERR2300807	ERR2300810	380	27811
Candidozyma auris	ERR2300807	ERR2300812	0	27811
Candidozyma auris	ERR2300807	ERR2300813	0	27811
Candidozyma auris	ERR2300807	ERR2300814	0	27811
Candidozyma auris	ERR2300807	SRR11092001	26797	27811
Candidozyma auris	ERR2300807	SRR38908326	382	27811
Candidozyma auris	ERR2300807	SRR38908330	0	27811
Candidozyma auris	ERR2300807	SRR38908334	1565	27811
Candidozyma auris	ERR2300808	ERR2300809	380	27811
Candidozyma auris	ERR2300808	ERR2300810	380	27811
Candidozyma auris	ERR2300808	ERR2300812	0	27811
Candidozyma auris	ERR2300808	ERR2300813	0	27811
Candidozyma auris	ERR2300808	ERR2300814	0	27811
Candidozyma auris	ERR2300808	SRR11092001	26797	27811
Candidozyma auris	ERR2300808	SRR38908326	382	27811
Candidozyma auris	ERR2300808	SRR38908330	0	27811
Candidozyma auris	ERR2300808	SRR38908334	1565	27811
Candidozyma auris	ERR2300809	ERR2300810	0	27811
Candidozyma auris	ERR2300809	ERR2300812	380	27811
Candidozyma auris	ERR2300809	ERR2300813	380	27811
Candidozyma auris	ERR2300809	ERR2300814	380	27811
Candidozyma auris	ERR2300809	SRR11092001	26832	27811
Candidozyma auris	ERR2300809	SRR38908326	2	27811
Candidozyma auris	ERR2300809	SRR38908330	380	27811
Candidozyma auris	ERR2300809	SRR38908334	1588	27811
Candidozyma auris	ERR2300810	ERR2300812	380	27811
Candidozyma auris	ERR2300810	ERR2300813	380	27811
Candidozyma auris	ERR2300810	ERR2300814	380	27811
Candidozyma auris	ERR2300810	SRR11092001	26832	27811
Candidozyma auris	ERR2300810	SRR38908326	2	27811
Candidozyma auris	ERR2300810	SRR38908330	380	27811
Candidozyma auris	ERR2300810	SRR38908334	1588	27811
Candidozyma auris	ERR2300812	ERR2300813	0	27811
Candidozyma auris	ERR2300812	ERR2300814	0	27811
Candidozyma auris	ERR2300812	SRR11092001	26797	27811
Candidozyma auris	ERR2300812	SRR38908326	382	27811
Candidozyma auris	ERR2300812	SRR38908330	0	27811
Candidozyma auris	ERR2300812	SRR38908334	1565	27811
Candidozyma auris	ERR2300813	ERR2300814	0	27811
Candidozyma auris	ERR2300813	SRR11092001	26797	27811
Candidozyma auris	ERR2300813	SRR38908326	382	27811
Candidozyma auris	ERR2300813	SRR38908330	0	27811
Candidozyma auris	ERR2300813	SRR38908334	1565	27811
Candidozyma auris	ERR2300814	SRR11092001	26797	27811
Candidozyma auris	ERR2300814	SRR38908326	382	27811
Candidozyma auris	ERR2300814	SRR38908330	0	27811
Candidozyma auris	ERR2300814	SRR38908334	1565	27811
Candidozyma auris	SRR11092001	SRR38908326	26832	27811
Candidozyma auris	SRR11092001	SRR38908330	26797	27811
Candidozyma auris	SRR11092001	SRR38908334	26871	27811
Candidozyma auris	SRR38908326	SRR38908330	382	27811
Candidozyma auris	SRR38908326	SRR38908334	1590	27811
Candidozyma auris	SRR38908330	SRR38908334	1565	27811
