species	sample_a	sample_b	snp_distance	compared_sites
Candida albicans	SRR30894123	SRR30894124	1	59
Candida albicans	SRR30894123	SRR30894125	1	59
Candida albicans	SRR30894123	SRR30894126	1	59
Candida albicans	SRR30894123	SRR30894127	1	59
Candida albicans	SRR30894123	SRR30894128	4	59
Candida albicans	SRR30894123	SRR30894129	3	59
Candida albicans	SRR30894123	SRR30894132	9	59
Candida albicans	SRR30894123	SRR30894133	1	59
Candida albicans	SRR30894123	SRR30894135	7	59
Candida albicans	SRR30894123	SRR30894138	3	59
Candida albicans	SRR30894123	SRR30894139	3	59
Candida albicans	SRR30894123	SRR30894141	1	59
Candida albicans	SRR30894123	SRR30894142	1	59
Candida albicans	SRR30894123	SRR30894143	3	59
Candida albicans	SRR30894123	SRR30894145	1	59
Candida albicans	SRR30894123	SRR30894146	0	59
Candida albicans	SRR30894123	SRR30894147	2	59
Candida albicans	SRR30894123	SRR33417537	7	59
Candida albicans	SRR30894123	SRR33417538	8	59
Candida albicans	SRR30894123	SRR33417540	2	59
Candida albicans	SRR30894123	SRR33417541	1	59
Candida albicans	SRR30894123	SRR33417544	7	59
Candida albicans	SRR30894123	SRR33417545	15	59
Candida albicans	SRR30894124	SRR30894125	0	59
Candida albicans	SRR30894124	SRR30894126	2	59
Candida albicans	SRR30894124	SRR30894127	0	59
Candida albicans	SRR30894124	SRR30894128	3	59
Candida albicans	SRR30894124	SRR30894129	2	59
Candida albicans	SRR30894124	SRR30894132	8	59
Candida albicans	SRR30894124	SRR30894133	2	59
Candida albicans	SRR30894124	SRR30894135	6	59
Candida albicans	SRR30894124	SRR30894138	2	59
Candida albicans	SRR30894124	SRR30894139	2	59
Candida albicans	SRR30894124	SRR30894141	0	59
Candida albicans	SRR30894124	SRR30894142	0	59
Candida albicans	SRR30894124	SRR30894143	4	59
Candida albicans	SRR30894124	SRR30894145	2	59
Candida albicans	SRR30894124	SRR30894146	1	59
Candida albicans	SRR30894124	SRR30894147	3	59
Candida albicans	SRR30894124	SRR33417537	6	59
Candida albicans	SRR30894124	SRR33417538	9	59
Candida albicans	SRR30894124	SRR33417540	3	59
Candida albicans	SRR30894124	SRR33417541	2	59
Candida albicans	SRR30894124	SRR33417544	6	59
Candida albicans	SRR30894124	SRR33417545	16	59
Candida albicans	SRR30894125	SRR30894126	2	59
Candida albicans	SRR30894125	SRR30894127	0	59
Candida albicans	SRR30894125	SRR30894128	3	59
Candida albicans	SRR30894125	SRR30894129	2	59
Candida albicans	SRR30894125	SRR30894132	8	59
Candida albicans	SRR30894125	SRR30894133	2	59
Candida albicans	SRR30894125	SRR30894135	6	59
Candida albicans	SRR30894125	SRR30894138	2	59
Candida albicans	SRR30894125	SRR30894139	2	59
Candida albicans	SRR30894125	SRR30894141	0	59
Candida albicans	SRR30894125	SRR30894142	0	59
Candida albicans	SRR30894125	SRR30894143	4	59
Candida albicans	SRR30894125	SRR30894145	2	59
Candida albicans	SRR30894125	SRR30894146	1	59
Candida albicans	SRR30894125	SRR30894147	3	59
Candida albicans	SRR30894125	SRR33417537	6	59
Candida albicans	SRR30894125	SRR33417538	9	59
Candida albicans	SRR30894125	SRR33417540	3	59
Candida albicans	SRR30894125	SRR33417541	2	59
Candida albicans	SRR30894125	SRR33417544	6	59
Candida albicans	SRR30894125	SRR33417545	16	59
Candida albicans	SRR30894126	SRR30894127	2	59
Candida albicans	SRR30894126	SRR30894128	5	59
Candida albicans	SRR30894126	SRR30894129	4	59
Candida albicans	SRR30894126	SRR30894132	10	59
Candida albicans	SRR30894126	SRR30894133	2	59
Candida albicans	SRR30894126	SRR30894135	8	59
Candida albicans	SRR30894126	SRR30894138	4	59
Candida albicans	SRR30894126	SRR30894139	4	59
Candida albicans	SRR30894126	SRR30894141	2	59
Candida albicans	SRR30894126	SRR30894142	2	59
Candida albicans	SRR30894126	SRR30894143	4	59
Candida albicans	SRR30894126	SRR30894145	2	59
Candida albicans	SRR30894126	SRR30894146	1	59
Candida albicans	SRR30894126	SRR30894147	3	59
Candida albicans	SRR30894126	SRR33417537	8	59
Candida albicans	SRR30894126	SRR33417538	9	59
Candida albicans	SRR30894126	SRR33417540	3	59
Candida albicans	SRR30894126	SRR33417541	2	59
Candida albicans	SRR30894126	SRR33417544	8	59
Candida albicans	SRR30894126	SRR33417545	16	59
Candida albicans	SRR30894127	SRR30894128	3	59
Candida albicans	SRR30894127	SRR30894129	2	59
Candida albicans	SRR30894127	SRR30894132	8	59
Candida albicans	SRR30894127	SRR30894133	2	59
Candida albicans	SRR30894127	SRR30894135	6	59
Candida albicans	SRR30894127	SRR30894138	2	59
Candida albicans	SRR30894127	SRR30894139	2	59
Candida albicans	SRR30894127	SRR30894141	0	59
Candida albicans	SRR30894127	SRR30894142	0	59
Candida albicans	SRR30894127	SRR30894143	4	59
Candida albicans	SRR30894127	SRR30894145	2	59
Candida albicans	SRR30894127	SRR30894146	1	59
Candida albicans	SRR30894127	SRR30894147	3	59
Candida albicans	SRR30894127	SRR33417537	6	59
Candida albicans	SRR30894127	SRR33417538	9	59
Candida albicans	SRR30894127	SRR33417540	3	59
Candida albicans	SRR30894127	SRR33417541	2	59
Candida albicans	SRR30894127	SRR33417544	6	59
Candida albicans	SRR30894127	SRR33417545	16	59
Candida albicans	SRR30894128	SRR30894129	1	59
Candida albicans	SRR30894128	SRR30894132	7	59
Candida albicans	SRR30894128	SRR30894133	5	59
Candida albicans	SRR30894128	SRR30894135	5	59
Candida albicans	SRR30894128	SRR30894138	1	59
Candida albicans	SRR30894128	SRR30894139	1	59
Candida albicans	SRR30894128	SRR30894141	3	59
Candida albicans	SRR30894128	SRR30894142	3	59
Candida albicans	SRR30894128	SRR30894143	7	59
Candida albicans	SRR30894128	SRR30894145	5	59
Candida albicans	SRR30894128	SRR30894146	4	59
Candida albicans	SRR30894128	SRR30894147	6	59
Candida albicans	SRR30894128	SRR33417537	5	59
Candida albicans	SRR30894128	SRR33417538	12	59
Candida albicans	SRR30894128	SRR33417540	6	59
Candida albicans	SRR30894128	SRR33417541	5	59
Candida albicans	SRR30894128	SRR33417544	5	59
Candida albicans	SRR30894128	SRR33417545	19	59
Candida albicans	SRR30894129	SRR30894132	6	59
Candida albicans	SRR30894129	SRR30894133	4	59
Candida albicans	SRR30894129	SRR30894135	4	59
Candida albicans	SRR30894129	SRR30894138	0	59
Candida albicans	SRR30894129	SRR30894139	0	59
Candida albicans	SRR30894129	SRR30894141	2	59
Candida albicans	SRR30894129	SRR30894142	2	59
Candida albicans	SRR30894129	SRR30894143	6	59
Candida albicans	SRR30894129	SRR30894145	4	59
Candida albicans	SRR30894129	SRR30894146	3	59
Candida albicans	SRR30894129	SRR30894147	5	59
Candida albicans	SRR30894129	SRR33417537	4	59
Candida albicans	SRR30894129	SRR33417538	11	59
Candida albicans	SRR30894129	SRR33417540	5	59
Candida albicans	SRR30894129	SRR33417541	4	59
Candida albicans	SRR30894129	SRR33417544	4	59
Candida albicans	SRR30894129	SRR33417545	18	59
Candida albicans	SRR30894132	SRR30894133	10	59
Candida albicans	SRR30894132	SRR30894135	2	59
Candida albicans	SRR30894132	SRR30894138	6	59
Candida albicans	SRR30894132	SRR30894139	6	59
Candida albicans	SRR30894132	SRR30894141	8	59
Candida albicans	SRR30894132	SRR30894142	8	59
Candida albicans	SRR30894132	SRR30894143	12	59
Candida albicans	SRR30894132	SRR30894145	10	59
Candida albicans	SRR30894132	SRR30894146	9	59
Candida albicans	SRR30894132	SRR30894147	11	59
Candida albicans	SRR30894132	SRR33417537	10	59
Candida albicans	SRR30894132	SRR33417538	17	59
Candida albicans	SRR30894132	SRR33417540	11	59
Candida albicans	SRR30894132	SRR33417541	10	59
Candida albicans	SRR30894132	SRR33417544	10	59
Candida albicans	SRR30894132	SRR33417545	22	59
Candida albicans	SRR30894133	SRR30894135	8	59
Candida albicans	SRR30894133	SRR30894138	4	59
Candida albicans	SRR30894133	SRR30894139	4	59
Candida albicans	SRR30894133	SRR30894141	2	59
Candida albicans	SRR30894133	SRR30894142	2	59
Candida albicans	SRR30894133	SRR30894143	4	59
Candida albicans	SRR30894133	SRR30894145	2	59
Candida albicans	SRR30894133	SRR30894146	1	59
Candida albicans	SRR30894133	SRR30894147	3	59
Candida albicans	SRR30894133	SRR33417537	8	59
Candida albicans	SRR30894133	SRR33417538	9	59
Candida albicans	SRR30894133	SRR33417540	3	59
Candida albicans	SRR30894133	SRR33417541	2	59
Candida albicans	SRR30894133	SRR33417544	8	59
Candida albicans	SRR30894133	SRR33417545	16	59
Candida albicans	SRR30894135	SRR30894138	4	59
Candida albicans	SRR30894135	SRR30894139	4	59
Candida albicans	SRR30894135	SRR30894141	6	59
Candida albicans	SRR30894135	SRR30894142	6	59
Candida albicans	SRR30894135	SRR30894143	10	59
Candida albicans	SRR30894135	SRR30894145	8	59
Candida albicans	SRR30894135	SRR30894146	7	59
Candida albicans	SRR30894135	SRR30894147	9	59
Candida albicans	SRR30894135	SRR33417537	8	59
Candida albicans	SRR30894135	SRR33417538	15	59
Candida albicans	SRR30894135	SRR33417540	9	59
Candida albicans	SRR30894135	SRR33417541	8	59
Candida albicans	SRR30894135	SRR33417544	8	59
Candida albicans	SRR30894135	SRR33417545	20	59
