sample_id	species	percent_reads	contigs	n50	gc_percent	amr_hits
ERR263534	Candida albicans	99.62	1,234	57,289	33.43	1
ERR331060	Nakaseomyces glabratus	73.73	427	67,770	38.08	0
SRR25474571	Candida parapsilosis	100.00	853	33,626	38.63	0
SRR25474602	Candida parapsilosis	99.99	951	28,822	38.61	0
SRR25474605	Candida parapsilosis	99.96	1,070	24,883	38.61	0
SRR38463714	Candidozyma auris	99.22	126	187,990	45.14	1
SRR38463716	Candidozyma auris	99.45	130	254,478	45.14	1
SRR38770855	Candidozyma auris	99.53	812	29,270	44.94	1
SRR38770856	Candidozyma auris	99.41	737	30,299	44.94	1
SRR38770857	Candidozyma auris	99.64	797	29,892	44.92	1
SRR38770858	Candidozyma auris	99.58	819	29,237	44.92	1
SRR38770859	Candidozyma auris	99.75	838	25,695	44.92	1
SRR38770860	Candidozyma auris	99.00	820	28,474	44.92	1
SRR38770861	Candidozyma auris	99.64	794	28,263	44.92	1
SRR38770862	Candidozyma auris	99.18	840	27,503	44.93	1
SRR38770863	Candidozyma auris	99.70	747	32,589	44.92	1
SRR38770864	Candidozyma auris	99.34	852	27,621	44.90	1
