sample_id	species	percent_reads	contigs	n50	gc_percent	amr_hits
SRR10967519	Candida tropicalis	99.92	783	70,387	33.03	0
SRR11235409	Candida albicans	98.89	4,260	9,806	33.94	1
SRR11235422	Nakaseomyces glabratus	100.00	889	51,761	38.73	1
SRR11235424	Nakaseomyces glabratus	99.99	1,130	36,125	38.79	1
SRR11235425	Nakaseomyces glabratus	99.99	1,123	37,964	38.76	1
SRR11235426	Nakaseomyces glabratus	99.99	1,466	22,403	38.74	1
SRR11235427	Nakaseomyces glabratus	99.99	1,160	36,886	38.80	1
SRR11235428	Nakaseomyces glabratus	99.99	1,309	32,230	38.83	1
SRR11235429	Nakaseomyces glabratus	99.99	1,180	37,394	38.83	1
SRR11235430	Nakaseomyces glabratus	99.99	1,708	43,764	38.85	1
SRR12823762	Candida tropicalis	99.75	13,125	2,245	33.37	0
SRR23951614	Clavispora lusitaniae	99.92	246	151,973	44.49	0
SRR24123449	Clavispora lusitaniae	99.91	129	308,077	44.48	0
SRR24123452	Clavispora lusitaniae	99.90	125	254,386	44.48	0
SRR24123455	Clavispora lusitaniae	99.93	91	405,269	44.48	0
SRR24123459	Clavispora lusitaniae	99.89	121	243,251	44.48	0
SRR24123461	Clavispora lusitaniae	99.90	118	232,565	44.48	0
SRR24123463	Clavispora lusitaniae	99.91	117	294,188	44.48	0
SRR30781078	Clavispora lusitaniae	99.97	244	110,023	44.47	0
SRR30781089	Clavispora lusitaniae	99.97	211	124,527	44.48	0
SRR30781120	Clavispora lusitaniae	99.96	197	155,295	44.47	0
SRR30781135	Clavispora lusitaniae	99.83	109	356,902	44.48	1
SRR30781188	Clavispora lusitaniae	99.85	120	332,841	44.50	0
SRR30781189	Clavispora lusitaniae	99.85	176	183,855	44.50	0
SRR35650155	Candida tropicalis	99.95	923	61,509	33.05	0
SRR35650156	Candida tropicalis	99.95	3,748	42,858	39.04	0
SRR35650157	Candida tropicalis	99.95	4,002	44,661	37.65	0
SRR38394166	Candida parapsilosis	99.99	408	118,157	38.66	1
SRR38394168	Candida parapsilosis	99.99	412	108,682	38.66	1
SRR38394169	Candida parapsilosis	100.00	378	110,492	38.65	1
SRR38394173	Candida parapsilosis	99.99	405	108,680	38.65	1
SRR38394176	Candida parapsilosis	100.00	412	98,593	38.65	1
SRR38566159	Pichia kudriavzevii	99.86	331	139,390	38.27	0
SRR38566164	Pichia kudriavzevii	99.83	353	129,338	38.27	0
SRR38566207	Pichia kudriavzevii	99.86	338	123,479	38.27	0
SRR38566258	Pichia kudriavzevii	99.78	377	141,968	38.27	0
SRR38566259	Pichia kudriavzevii	99.87	367	132,382	38.27	0
SRR38566263	Pichia kudriavzevii	99.39	461	119,406	38.30	0
SRR38842632	Candidozyma auris	99.31	1,112	24,296	44.89	1
SRR38842634	Candidozyma auris	99.62	1,120	24,271	44.86	1
SRR38887223	Candidozyma auris	99.35	108	282,927	45.14	1
SRR38906258	Candidozyma auris	99.53	101	248,883	45.15	0
SRR38906262	Candidozyma auris	99.44	93	230,926	45.15	0
SRR38906266	Candidozyma auris	99.41	82	337,956	45.14	1
SRR38908327	Candidozyma auris	99.27	139	164,662	45.15	0
SRR38908328	Candidozyma auris	99.47	128	201,158	45.14	1
SRR38908329	Candidozyma auris	99.38	129	241,241	45.14	1
SRR38908333	Candidozyma auris	99.35	117	214,791	45.14	1
SRR38908336	Candidozyma auris	99.20	120	201,103	45.14	1
SRR38908337	Candidozyma auris	99.20	106	267,970	45.14	1
