species	sample_a	sample_b	snp_distance	compared_sites
Candida albicans	SRR30894123	SRR30894124	986	9295
Candida albicans	SRR30894123	SRR30894128	1013	9295
Candida albicans	SRR30894123	SRR30894135	2835	9295
Candida albicans	SRR30894123	SRR30894139	1921	9295
Candida albicans	SRR30894123	SRR33417537	2157	9295
Candida albicans	SRR30894123	SRR33417538	4659	9295
Candida albicans	SRR30894123	SRR33417540	368	9295
Candida albicans	SRR30894124	SRR30894128	1014	9295
Candida albicans	SRR30894124	SRR30894135	2894	9295
Candida albicans	SRR30894124	SRR30894139	2024	9295
Candida albicans	SRR30894124	SRR33417537	2294	9295
Candida albicans	SRR30894124	SRR33417538	4753	9295
Candida albicans	SRR30894124	SRR33417540	1206	9295
Candida albicans	SRR30894128	SRR30894135	2585	9295
Candida albicans	SRR30894128	SRR30894139	1694	9295
Candida albicans	SRR30894128	SRR33417537	1924	9295
Candida albicans	SRR30894128	SRR33417538	4406	9295
Candida albicans	SRR30894128	SRR33417540	1201	9295
Candida albicans	SRR30894135	SRR30894139	3299	9295
Candida albicans	SRR30894135	SRR33417537	3243	9295
Candida albicans	SRR30894135	SRR33417538	5346	9295
Candida albicans	SRR30894135	SRR33417540	3063	9295
Candida albicans	SRR30894139	SRR33417537	650	9295
Candida albicans	SRR30894139	SRR33417538	5017	9295
Candida albicans	SRR30894139	SRR33417540	2127	9295
Candida albicans	SRR33417537	SRR33417538	4869	9295
Candida albicans	SRR33417537	SRR33417540	2389	9295
Candida albicans	SRR33417538	SRR33417540	4823	9295
