sample_id	species	percent_reads	contigs	n50	gc_percent	amr_hits
SRR30894123	Candida albicans	99.21	1,506	33,842	33.42	1
SRR30894124	Candida albicans	99.54	1,237	52,568	33.43	1
SRR30894125	Candida albicans	99.29	1,652	24,041	33.40	1
SRR30894126	Candida albicans	99.34	1,552	29,071	33.41	1
SRR30894127	Candida albicans	99.49	1,623	34,114	33.42	1
SRR30894128	Candida albicans	99.36	1,603	42,869	33.42	1
SRR30894129	Candida albicans	99.55	1,329	40,138	33.39	1
SRR30894130	Pichia kudriavzevii	97.84	699	37,093	38.27	0
SRR30894131	Nakaseomyces glabratus	99.84	830	35,217	38.52	1
SRR30894132	Candida albicans	99.49	9,126	1,253	33.35	0
SRR30894133	Candida albicans	89.93	3,328	21,164	33.55	1
SRR30894134	Pichia kudriavzevii	83.79	2,922	12,632	37.88	0
SRR30894135	Candida albicans	99.09	1,382	37,919	33.39	1
SRR30894136	Candida tropicalis	99.96	1,506	19,835	32.93	0
SRR30894137	Pichia kudriavzevii	74.68	6,237	7,654	35.55	0
SRR30894138	Candida albicans	99.38	1,901	27,035	33.48	1
SRR30894139	Candida albicans	98.56	1,586	40,477	33.41	1
SRR30894140	Clavispora lusitaniae	95.10	1,063	111,646	44.03	0
SRR30894141	Candida albicans	97.47	1,923	20,207	33.41	1
SRR30894142	Candida albicans	99.27	1,648	24,044	33.42	1
SRR30894143	Candida albicans	99.31	1,438	36,675	33.40	1
SRR30894144	Candida tropicalis	99.01	9,505	3,788	33.26	0
SRR30894145	Candida albicans	99.45	1,734	32,664	33.74	1
SRR30894146	Candida albicans	99.34	1,308	37,168	33.41	1
SRR30894147	Candida albicans	99.36	1,138	52,837	33.44	1
SRR33417537	Candida albicans	99.37	1,354	52,873	33.40	1
SRR33417538	Candida albicans	99.52	1,143	58,607	33.37	1
SRR33417539	Candida parapsilosis	100.00	366	118,140	38.65	0
SRR33417540	Candida albicans	99.41	1,270	52,398	33.40	1
SRR33417541	Candida albicans	99.33	1,143	60,507	33.41	1
SRR33417542	Candida tropicalis	99.84	6,414	7,269	33.23	0
SRR33417543	Candida tropicalis	99.83	6,401	7,197	33.22	0
SRR33417544	Candida albicans	99.35	1,270	58,226	33.42	1
SRR33417545	Candida albicans	99.32	1,598	48,557	33.43	1
