species	sample_a	sample_b	snp_distance	compared_sites
Candidozyma auris	SRR38463714	SRR38463716	39809	78438
Candidozyma auris	SRR38463714	SRR38770855	355	78438
Candidozyma auris	SRR38463714	SRR38770856	355	78438
Candidozyma auris	SRR38463714	SRR38770857	262	78438
Candidozyma auris	SRR38463714	SRR38770858	39791	78438
Candidozyma auris	SRR38463714	SRR38770859	329	78438
Candidozyma auris	SRR38463714	SRR38770860	388	78438
Candidozyma auris	SRR38463714	SRR38770861	39804	78438
Candidozyma auris	SRR38463714	SRR38770862	377	78438
Candidozyma auris	SRR38463714	SRR38770863	39797	78438
Candidozyma auris	SRR38463714	SRR38770864	361	78438
Candidozyma auris	SRR38463716	SRR38770855	39814	78438
Candidozyma auris	SRR38463716	SRR38770856	39829	78438
Candidozyma auris	SRR38463716	SRR38770857	39795	78438
Candidozyma auris	SRR38463716	SRR38770858	107	78438
Candidozyma auris	SRR38463716	SRR38770859	39779	78438
Candidozyma auris	SRR38463716	SRR38770860	39822	78438
Candidozyma auris	SRR38463716	SRR38770861	106	78438
Candidozyma auris	SRR38463716	SRR38770862	39803	78438
Candidozyma auris	SRR38463716	SRR38770863	103	78438
Candidozyma auris	SRR38463716	SRR38770864	39818	78438
Candidozyma auris	SRR38770855	SRR38770856	110	78438
Candidozyma auris	SRR38770855	SRR38770857	227	78438
Candidozyma auris	SRR38770855	SRR38770858	39790	78438
Candidozyma auris	SRR38770855	SRR38770859	116	78438
Candidozyma auris	SRR38770855	SRR38770860	135	78438
Candidozyma auris	SRR38770855	SRR38770861	39791	78438
Candidozyma auris	SRR38770855	SRR38770862	128	78438
Candidozyma auris	SRR38770855	SRR38770863	39796	78438
Candidozyma auris	SRR38770855	SRR38770864	116	78438
Candidozyma auris	SRR38770856	SRR38770857	223	78438
Candidozyma auris	SRR38770856	SRR38770858	39801	78438
Candidozyma auris	SRR38770856	SRR38770859	114	78438
Candidozyma auris	SRR38770856	SRR38770860	124	78438
Candidozyma auris	SRR38770856	SRR38770861	39810	78438
Candidozyma auris	SRR38770856	SRR38770862	132	78438
Candidozyma auris	SRR38770856	SRR38770863	39811	78438
Candidozyma auris	SRR38770856	SRR38770864	96	78438
Candidozyma auris	SRR38770857	SRR38770858	39767	78438
Candidozyma auris	SRR38770857	SRR38770859	227	78438
Candidozyma auris	SRR38770857	SRR38770860	260	78438
Candidozyma auris	SRR38770857	SRR38770861	39784	78438
Candidozyma auris	SRR38770857	SRR38770862	245	78438
Candidozyma auris	SRR38770857	SRR38770863	39777	78438
Candidozyma auris	SRR38770857	SRR38770864	233	78438
Candidozyma auris	SRR38770858	SRR38770859	39751	78438
Candidozyma auris	SRR38770858	SRR38770860	39798	78438
Candidozyma auris	SRR38770858	SRR38770861	53	78438
Candidozyma auris	SRR38770858	SRR38770862	39775	78438
Candidozyma auris	SRR38770858	SRR38770863	48	78438
Candidozyma auris	SRR38770858	SRR38770864	39794	78438
Candidozyma auris	SRR38770859	SRR38770860	109	78438
Candidozyma auris	SRR38770859	SRR38770861	39768	78438
Candidozyma auris	SRR38770859	SRR38770862	80	78438
Candidozyma auris	SRR38770859	SRR38770863	39761	78438
Candidozyma auris	SRR38770859	SRR38770864	110	78438
Candidozyma auris	SRR38770860	SRR38770861	39811	78438
Candidozyma auris	SRR38770860	SRR38770862	129	78438
Candidozyma auris	SRR38770860	SRR38770863	39804	78438
Candidozyma auris	SRR38770860	SRR38770864	118	78438
Candidozyma auris	SRR38770861	SRR38770862	39792	78438
Candidozyma auris	SRR38770861	SRR38770863	49	78438
Candidozyma auris	SRR38770861	SRR38770864	39807	78438
Candidozyma auris	SRR38770862	SRR38770863	39785	78438
Candidozyma auris	SRR38770862	SRR38770864	114	78438
Candidozyma auris	SRR38770863	SRR38770864	39800	78438
